Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
No water supply in the village since 6 days.,Water,Negative,High,Katphal,2024-11-06,413111,en,no water supply
Medicines are not available at PHC.,Health,Negative,Medium,Someshwar,2024-08-31,412306,en,medicines not available
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Morgaon,2025-06-27,413304,mr,electricity supply disrupted
No doctor available at PHC.,Health,Negative,Medium,Nimbut,2025-08-28,413110,en,doctor not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2025-02-26,413304,mr,other_issue
Village health worker is absent since 6 days.,Health,Negative,Medium,Baramati,2025-08-17,413102,en,health worker absent
No doctor available at PHC.,Health,Negative,Medium,Nimbut,2024-10-05,413110,en,doctor not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-12-14,412306,mr,drainage problem
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2024-07-03,413111,en,road potholes
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2024-12-06,412306,mr,teachers not available
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2024-10-02,413111,mr,frequent power cuts
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-05-13,413111,en,water tank empty
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-03-28,413111,en,garbage not collected
Drinking water tank is empty.,Water,Negative,High,Morgaon,2025-01-17,413304,en,water tank empty
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2025-07-02,413115,en,road potholes
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-07-14,413102,en,frequent power cuts
Frequent power cuts in the evening.,Electricity,Negative,High,Nimbut,2024-07-22,413110,en,frequent power cuts
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2025-03-06,413102,en,garbage not collected
Drinking water tank is empty.,Water,Negative,High,Someshwar,2025-04-26,412306,en,water tank empty
Village health worker is absent since 7 days.,Health,Negative,Medium,Pandare,2024-12-27,413103,en,health worker absent
पाण्याचा टँकर आला नाही 7 दिवसांपासून.,Water,Negative,High,Malegaon,2024-01-21,413115,mr,water tanker not arrived
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-01-24,413115,mr,drainage problem
Drinking water tank is empty.,Water,Negative,High,Pandare,2025-08-12,413103,en,water tank empty
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2025-03-29,413103,mr,teachers not available
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Morgaon,2024-10-15,413304,en,garbage not collected
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Baramati,2024-04-28,413102,en,transformer not working
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2024-12-23,413102,mr,electricity supply disrupted
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Nimbut,2024-06-05,413110,mr,other_issue
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-06-11,412306,en,water tank empty
Village health worker is absent since 3 days.,Health,Negative,High,Katphal,2025-09-05,413111,en,health worker absent
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2025-07-22,413110,en,garbage not collected
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2024-09-17,413102,en,garbage not collected
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2024-02-15,413304,en,handpump broken
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Katphal,2024-05-16,413111,mr,water tanker not arrived
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Pandare,2025-03-12,413103,en,ambulance not arrived
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-10-28,413110,mr,other_issue
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-07-17,412306,en,playground not maintained
